route_id,route_no,stop_id,stop_name,order_in_cbd
aus:vic:vic-03-1:,1,18225,Miles St/Sturt St #19,000013.00
aus:vic:vic-03-1:,1,18226,Grant St/Sturt St #18,000014.00
aus:vic:vic-03-1:,1,18227,Arts Precinct/Sturt St #17,000015.00
aus:vic:vic-03-1:,1,19684,Arts Precinct/St Kilda Rd #14,000016.00
aus:vic:vic-03-1:,1,19685,Federation Square/Swanston St #13,000017.00
aus:vic:vic-03-1:,1,19686,City Square/Swanston St #11,000018.00
aus:vic:vic-03-1:,1,19687,Bourke Street Mall/Swanston St #10,000019.00
aus:vic:vic-03-1:,1,19689,Melbourne Central Station/Swanston St #8,000020.00
aus:vic:vic-03-1:,1,19495,Melbourne Central Station/Swanston St #8,000028.00
aus:vic:vic-03-1:,1,19497,Bourke Street Mall/Swanston St #10,000029.00
aus:vic:vic-03-1:,1,19498,City Square/Swanston St #11,000030.00
aus:vic:vic-03-1:,1,19499,Federation Square/Swanston St #13,000031.00
aus:vic:vic-03-1:,1,19500,Arts Precinct/St Kilda Rd #14,000032.00
aus:vic:vic-03-1:,1,18229,Arts Precinct/Sturt St #17,000033.00
aus:vic:vic-03-1:,1,18230,Grant St/Sturt St #18,000034.00
aus:vic:vic-03-1:,1,18231,Miles St/Sturt St #19,000035.00
aus:vic:vic-03-109:,109,19369,Southbank Tram Depot/Light Rail #125A,000005.00
aus:vic:vic-03-109:,109,18184,Clarendon St/Whiteman St #125,000006.00
aus:vic:vic-03-109:,109,18185,Casino/MCEC/Clarendon St #124A,000007.00
aus:vic:vic-03-109:,109,18186,Batman Park/Spencer St #124,000008.00
aus:vic:vic-03-109:,109,17906,Spencer St/Collins St #1,000009.00
aus:vic:vic-03-109:,109,17908,William St/Collins St #3,000010.00
aus:vic:vic-03-109:,109,17910,Elizabeth St/Collins St #5,000011.00
aus:vic:vic-03-109:,109,17911,Melbourne Town Hall/Collins St #6,000012.00
aus:vic:vic-03-109:,109,22152,Exhibition St/Collins St #7,000013.00
aus:vic:vic-03-109:,109,17914,Spring St/Collins St #8,000014.00
aus:vic:vic-03-109:,109,17915,Parliament Railway Station/Macarthur St #10,000015.00
aus:vic:vic-03-109:,109,18006,Albert St/Gisborne St #11,000016.00
aus:vic:vic-03-109:,109,22100,Smith St/Victoria Pde #15,000019.00
aus:vic:vic-03-109:,109,19728,Smith St/Victoria Pde #15,000038.00
aus:vic:vic-03-109:,109,19726,Lansdowne St/Victoria Pde #13,000039.00
aus:vic:vic-03-109:,109,17896,Albert St/Gisborne St #11,000041.00
aus:vic:vic-03-109:,109,17897,Parliament Railway Station/Macarthur St #10,000042.00
aus:vic:vic-03-109:,109,17898,Spring St/Collins St #8,000043.00
aus:vic:vic-03-109:,109,22153,Exhibition St/Collins St #7,000044.00
aus:vic:vic-03-109:,109,17901,Melbourne Town Hall/Collins St #6,000045.00
aus:vic:vic-03-109:,109,17902,Elizabeth St/Collins St #5,000046.00
aus:vic:vic-03-109:,109,17903,William St/Collins St #3,000047.00
aus:vic:vic-03-109:,109,17905,Spencer St/Collins St #1,000048.00
